HF_ID,HF_CODE,NAME_KH,NAME_EN,PRO_CODE,PRO_NAME_KH,PRO_NAME_EN,DIS_CODE,DIS_NAME_KH,DIS_NAME_EN,OD_CODE,OD_NAME_KH,OD_NAME_EN,COM_CODE,COM_NAME_KH,COM__NAME_EN,VIL_CODE,VIL_NAME_KH,VIL__NAME_EN,OWNERSHIP,ACRONYM,HF_TYPE_EN,HF_TYPE_KH,HF_LEVEL,HF_HEAD,CONTACT_NO,CONTACT_EMAIL,HF_LAT,HF_LON,START_DATE,GOOGLE_MAP_LINK,STATUS,date_issue
361305,121010,NH មន្ទីរពេទ្យមិត្តភាពខ្មែរសូវៀត,NH Khmer-Soviet Friendship,12,ភ្នំពេញ,Phnom Penh,1201,ចំការមន,Chamkar Mon,1210,មន្ទីរពេទ្យជាតិ,National Hopital,120108,ទំនប់ទឹក,Tumnob Tuek,12130501,ទំនប់ទឹក,Tumnob Tuek,DPHI (Google Map),NH,National Hospital,មន្ទីរពេទ្យជាតិ,,NA,None,NA,11.5449484062678,104.903314086245,39826,,Operational,unparseable
226146,121012,NH មន្ទីរពេទ្យមិត្តិភាពកម្ពុជា-ចិន ព្រះកុសមៈ,NH Kossamak,12,ភ្នំពេញ,Phnom Penh,1204,ទួលគោក,Tuol Kouk,1210,មន្ទីរពេទ្យជាតិ,National Hopital,120405,ទឹកល្អក់ទី ២,Tuek L'ak Ti Pir,12040501,សេប៉េសេ,Se Pe Se,DPHI (Google Map),NH,National Hospital,មន្ទីរពេទ្យជាតិ,,NA,None,NA,11.5639310230705,104.890526983402,42370,,Operational,unparseable
307136,121014,NH មន្ទីរពេទ្យគន្ធបុប្ផា,NH Kantha Bopha II,12,ភ្នំពេញ,Phnom Penh,0103,ដូនពេញ,Doun Penh,1210,មន្ទីរពេទ្យជាតិ,National Hopital,120208,ជ័យជំនះ,Chey Chumnas,12021101,ជ័យជំនះ,Chey Chumnas,DPHI (Google Map),NH,National Hospital,មន្ទីរពេទ្យជាតិ,,NA,None,NA,11.561451,104.93094,39814,,Operational,unparseable
972769,121016,NH មជ្ឈមណ្ឌលជាតិគាំពារមាតានិងទារក,NH MCH,12,ភ្នំពេញ,Phnom Penh,1202,ដូនពេញ,Doun Penh,1210,មន្ទីរពេទ្យជាតិ,National Hopital,120210,ស្រះចក,Srah Chak,12021001,ទួលគោក,Toul Kok,DPHI (Google Map),NH,National Hospital,មន្ទីរពេទ្យជាតិ,,NA,None,NA,11.579297,104.920609,38749,,Operational,unparseable
917546,121018,NH មន្ទីរពេទ្យកុមារជាតិ,NH National Pediatric,12,ភ្នំពេញ,Phnom Penh,1204,ទួលគោក,Tuol Kouk,1210,មន្ទីរពេទ្យជាតិ,National Hopital,120404,ទឹកល្អក់ទី ១,Tuek L'ak Ti Muoy,12040401,ទឹកល្អក់ទី ១,Tuek L'ak Ti Muoy,DPHI (Google Map),NH,National Hospital,មន្ទីរពេទ្យជាតិ,,NA,None,NA,11.5685453173754,104.897441988341,38718,,Operational,unparseable
251896,121020,NH មន្ទីរពេទ្យព្រះសីហនុ មណ្ឌលនៃក្តីសង្ឃឹម,NH Preah Sihanouk Hope Center,12,ភ្នំពេញ,Phnom Penh,1202,ដូនពេញ,Doun Penh,1210,មន្ទីរពេទ្យជាតិ,National Hopital,120210,ស្រះចក,Srah Chak,12021001,ទួលគោក,Toul Kok,DPHI (GPS),NH,National Hospital,មន្ទីរពេទ្យជាតិ,,NA,NA,NA,11.5668863974966,104.912644585945,44866,,Operational,unparseable
255651,121022,NH មន្ទីរពេទ្យ ហ្លួង ម៉ែ,NH Loung Mae,12,ភ្នំពេញ,Phnom Penh,1202,ដូនពេញ,Doun Penh,1210,មន្ទីរពេទ្យជាតិ,National Hopital,120210,ស្រះចក,Srah Chak,12021001,ទួលគោក,Toul Kok,DPHI (GPS),NH,National Hospital,មន្ទីរពេទ្យជាតិ,,NA,NA,NA,11.497257,104.858738,44866,,Operational,unparseable
842665,121023,NH មន្ទីរពេទ្យជាតិតេជោសន្តិភាព,NH Techo Santepheap,12,ភ្នំពេញ,Phnom Penh,1202,កំបូល,Kamboul,1201,មន្ទីរពេទ្យជាតិ,National Hopital,120203,Kamboul,Kamboul,12020102,កំបូល,Kamboul,DPHI (Google Map),NH,National Hospital,មន្ទីរពេទ្យជាតិ,,NA,None,NA,11.6057015382325,104.803972910978,39814,,Operational,unparseable
869527,270101,NH គ្លីនិកជាតិព្យាបាល​ជំងឺ​អេដស៍ សើ​ស្បែក និង​កាមរោគ,"NH National Center for HIV/AIDS, Dermatology and STD",12,ភ្នំពេញ,Phnom Penh,1202,ដូនពេញ,Doun Penh,1210,មន្ទីរពេទ្យជាតិ,National Hopital,120210,ស្រះចក,Srah Chak,12021001,ទួលគោក,Toul Kok,DPHI (GPS),NH,National Hospital,មជ្ឈមណ្ឌល​ជាតិ,,NA,NA,NA,11.62174,104.923562,44317,,Operational,unparseable
045771,NA,HP អន្លង់គង,HP Anlong Korng,12,ភ្នំពេញ,Phnom Penh,1205,ដង្កោ,Dangkao,1206,ដង្កោ,Dang Koa,120510,ព្រៃស,Prey Sa,12051006,អន្លង់គង,Anlong Kong,DPHI (Google Map),HP,Health Post,ប៉ុស្តិ៍សុខភាព,,សំ ហ៊ស់,855 78785 877,None,11.488791,104.871927,2000,,Operational,unparseable
310693,NA,HP ព្រៃស្ពឺ,HP Prey Speu,12,ភ្នំពេញ,Phnom Penh,1209,ពោធិ៍សែនជ័យ,Pur SenChey,1203,ពោធិសែនជ័យ,Por Senchey,120915,ចោមចៅទី២,Chaom Chau 2,12091509,ព្រៃស្ពឺ,Prey Spueu,DPHI (GPS),HP,Health Post,ប៉ុស្តិ៍សុខភាព,,មិញ សុវណ្ណា,855 12250790,None,11.505006530494,104.828026057918,2017,,Operational,unparseable
228802,NA,HP កូន ពោធី,HP Kon Por,14,ព្រៃវែង,Prey Veng,1413,ស្វាយអន្ទរ,Svay Antor,1407,ស្វាយអន្ទរ,Svay Antor,141310,ស្វាយអន្ទរ,Svay Antor,14131002,ស្វាយអន្ទរទី ២,Svay Antor Ti Pir,DPHI (GPS),HP,Health Post,ប៉ុស្តិ៍សុខភាព,,NA,None,None,11.4623720102481,105.502656304548,NA,,Operational,unparseable
584870,121008,NH មន្ទីរពេទ្យជ័យវ័រ្មនទី៧,NH Jaya Varaman VII,17,សៀមរាប,Siemreap,1701,សៀមរាប,Siem Reap,1701,មន្ទីរពេទ្យជាតិ,National Hopital,170201,គោគចក,Kouk Chark,17020101,ផ្សារដើមក្រឡាញ់,Phsar Deoum Kralanh,DPHI (Google Map),NH,National Hospital,មន្ទីរពេទ្យជាតិ,,NA,None,NA,13.3758195578065,103.861103244745,39814,,Operational,unparseable
138039,NA,HP ស្នារតេជោ,HP Snadecho,17,សៀមរាប,Siemreap,1709,ប្រាសាទបាគង,Prasat Bakong,1702,សៀមរាប,Siem Reap,170903,បល្ល័ង្ក,Ballangk,17090303,ស្នារសង្រ្គាម,Shnar Sangkream,DPHI (GPS),HP,Health Post,ប៉ុស្តិ៍សុខភាព,,NA,None,None,13.4439297427367,104.046089793559,NA,,Operational,unparseable
033986,NA,HP ពន្ធនាគារ,HP Puntheaneakea,17,សៀមរាប,Siemreap,1710,សៀមរាប,Siem Reap,1702,សៀមរាប,Siem Reap,171006,ជ្រាវ,Chreav,17100603,បុស្សក្រឡាញ់,Bos Kralanh,DPHI (GPS),HP,Health Post,ប៉ុស្តិ៍សុខភាព,,NA,None,None,13.3109036871814,104.018102057585,NA,,Operational,unparseable
506215,NA,RH ប៊ុន រ៉ានី ហ៊ុន សែន រុនតាឯក,RH Bun Rany Hun Sen Run ta ek,17,សៀមរាប,Siemreap,1710,បន្ទាយស្រី,Banteaysrey,1702,សៀមរាប,Siem Reap,170306,ត្បែង,Tbaeng,17030602,តានី,Tany,DPHI (GPS),RH,Referral Hospital,មន្ទីរពេទ្យបង្អែកស្រុក,,NA,None,None,13.4888317209476,104.018488292277,NA,,Operational,unparseable
032972,,HP ព្រែកក្រាញ់,HP Preaek Kranh,18,ព្រះសីហនុ,Preah Sihanouk,1802,ព្រៃនប់,Prey Nob,1801,ព្រះសីហនុ,Preah Sihanouk,180209,សាមគ្គី,Sameakki,18020903,ព្រែកក្រាញ់,Preaek Kranh,DPHI (GPS),HP,Health Post,ប៉ុស្តិ៍សុខភាព,,ស៊ី វាសនា,855 93665545,None,10.76554,103.85754,N/A,https://maps.app.goo.gl/xrUCoTFM43tckn5f6,Operational,unparseable
722226,,HP អាយុយឺនយូរអូរបាក់រទេះ,HP Ayu Yern You O Bak Rotes,18,ព្រះសីហនុ,Preah Sihanouk,1804,កំពង់ សិលា,Kampong Seila,1801,ព្រះសីហនុ,Preah Sihanouk,180403,អូរបាក់រទេះ,Ou Bak Roteh,18040302,ស្ទឹងសំរោង,Stueng Samraong,DPHI (GPS),HP,Health Post,ប៉ុស្តិ៍សុខភាព,,កែវ ណី,855 15605958,None,11.1608597836461,103.999928155523,N/A,https://maps.app.goo.gl/PBzTpopVixNaTV328,Operational,unparseable
081550,180120,HC ទំនប់រលក,HC Tomnub Rolok,18,ព្រះសីហនុ,Preah Sihanouk,1801,ស្ទឹងហាវ,Stueng Hav,1801,ព្រះសីហនុ,Preah Sihanouk,180303,ទំនប់រលក,Tumnob Rolok,18030302,ភូមិ2,Phum Pir,DPHI (GPS),HC,Health Center,មណ្ឌលសុខភាព,,ហេង ប៉េងសាន្ត,855 16957718,None,10.7429077151657,103.628310705698,N/A,https://maps.app.goo.gl/efq4FQvUHZRgsvrdA,Operational,unparseable
656349,180121,HC ក្រុងកោះរ៉ុង,HC Krong Koh Rong,18,ព្រះសីហនុ,Preah Sihanouk,1805,កោះរ៉ុង,KohRong,1801,ព្រះសីហនុ,Preah Sihanouk,180502,កោះរ៉ុងសន្លឹម,Koh Rong Sanloem,18050201,កោះតូច,Koh Touch,DPHI (GPS),HC,Health Center,មណ្ឌលសុខភាព,,ហ៊ត​ សុឃាក់,855 15345167,None,10.6833675326368,103.273274766509,N/A,https://maps.app.goo.gl/swWPEi9q9h2wpmtM7,Operational,unparseable
780145,,HP កោះរ៉ុង,HP Koh Rong,18,ព្រះសីហនុ,Preah Sihanouk,1805,កោះរ៉ុង,KohRong,1801,ព្រះសីហនុ,Preah Sihanouk,180501,កោះរ៉ុង,Koh Rong,18050102,ព្រែកស្វាយ,Preaek Svay,DPHI (GPS),HP,Health Post,ប៉ុស្តិ៍សុខភាព,,បុត្រ តារាវិសាល,855 15814197,None,10.7106459196711,103.309497504514,N/A,https://maps.app.goo.gl/jYzBtNtxGiSLqMJ3A,Operational,unparseable
345662,,HP កោះរ៉ុងសន្លឹម,HP Koh Rong Sanloem,18,ព្រះសីហនុ,Preah Sihanouk,1805,កោះរ៉ុង,KohRong,1801,ព្រះសីហនុ,Preah Sihanouk,180502,កោះរ៉ុងសន្លឹម,Koh Rong Sanloem,18050202,កោះរ៉ុងសន្លឹម,Koh Rong Sanloem,DPHI (GPS),HP,Health Post,ប៉ុស្តិ៍សុខភាព,,ប៉ន ស្រីកា,855 89659565,None,10.6175327602793,103.304251519589,N/A,https://maps.app.goo.gl/C1KDLZn4p1BxNWiAA,Operational,unparseable
288523,180122,HC ហ៊ុនសែនសន្តិភាព,HC Hun Sen Santepheap,18,ព្រះសីហនុ,Preah Sihanouk,1804,កំពង់ សិលា,Kampong Seila,1801,ព្រះសីហនុ,Preah Sihanouk,180304,កែវផុស,Kaev Phos,18030403,ឫទ្ធី២,Rithy 2,DPHI (GPS),HC,Health Center,មណ្ឌលសុខភាព,,នួន ចាន់ដា,855 98699944,None,10.7685505377737,103.728117178918,N/A,https://maps.app.goo.gl/TVPJvXSgGEW2NuX56,Operational,unparseable
119391,200401,HP ទួលសាលា,HP Toul Sala,20,ស្វាយរៀង,Svay Rieng,2003,រំដួល,Rumduol,2004,ស្វាយទាប,Svay Teap,200304,ជ្រុងពពេល,Chrung Popel,20030401,ទួលសាលា,Tuol Sala,DPHI (GPS)	Unknown,HP,Health Post,ប៉ុស្តិ៍សុខភាព,,ឆាយ ស៊ីណាន,855 979090810,None,11.2239459501635,105.795842978194,2015,https://maps.app.goo.gl/rjNhmSCZ6jXNA5b58,Operational,unparseable
747286,040124,HP កងមាស,HP Kang Meas,04,កំពង់ឆ្នាំង,Kampong Chhnang,0406,រលាប្អៀរ,Rolea B'ier,0401,កំពង់ឆ្នាំង,Kampong Chhnang,040605,គោកបន្ទាយ,Kouk Banteay,04060507,កងមាស,Kang Meas,DPHI (GPS),HP,Health Post,ប៉ុស្តិ៍សុខភាព,,យ៉ែម ផល្លា,855 77939380,None,12.1598778407388,104.768941039104,18-01-2013,,Operational,unparseable
901062,NA,HP ឆ្អិន,HP Chaen,05,កំពង់ស្ពឺ,Kampong Speu,0504,ឱរ៉ាល់,Aoral,0501,កំពង់ស្ពឺ,Kampong Speu,050403,ត្រពាំងជោ,Trapeang Chuor,05040321,កោះដូនតី,Koah Doun Tei,DPHI (GPS),HP,Health Post,ប៉ុស្តិ៍សុខភាព,,គីម​ វណ្ណថា,855 963079502,NA,11.7565627228322,104.051221139717,NA,,Operational,unparseable
429526,NA,HP ត្រពាំងជ្រៃ,HP Trapeang Chrey,06,កំពង់ធំ,Kampong Thom,0601,បារាយណ៍,Baray,0601,បារាយណ៍សន្ទុក,Baray and Santuk,060102,បល្ល័ង្គ,Ballangk,06010207,ត្រពាំងជ្រៃ,Trapeang Chrey,DPHI (GPS),HP,Health Post,ប៉ុស្តិ៍សុខភាព,,តូច រ៉ន,855 89945506,NA,12.4683073972777,105.144836397513,02-01-2017,,Operational,unparseable
140977,NA,HP អភិវឌ្ឍន៏អូរធំ,HP Akphivath O Thom,06,កំពង់ធំ,Kampong Thom,0607,សន្ទុក,Santuk,0601,បារាយណ៍សន្ទុក,Baray and Santuk,060709,ទីពោ,Ti Pou,06070914,អូរធំ,Ou Thom,DPHI (GPS),HP,Health Post,ប៉ុស្តិ៍សុខភាព,,ឆេង វ៉ាន់ដា,855 77714665,NA,12.744183,105.205898,26-02-2013,,Operational,unparseable
706831,NA,HP ថ្មសំលៀង,HP Thmar Somleang,06,កំពង់ធំ,Kampong Thom,0607,សន្ទុក,Santuk,0601,បារាយណ៍សន្ទុក,Baray and Santuk,060705,ក្រយា,Kraya,06070507,ថ្មសំលៀង,Thma Samlieng,DPHI (GPS),HP,Health Post,ប៉ុស្តិ៍សុខភាព,,គឹម រតនា,885 887717558,NA,12.5453444946929,105.33281976979,NA,,Operational,unparseable
791996,090208,HP ទួលគគីរ,HP Toul Korki,09,កោះកុង,Koh Kong,0907,ថ្មបាំង,Thma Bang,0901,ស្មាច់មានជ័យ,Smach Mean Chey,090706,ថ្មដូនពៅ,Thma Doun Pov,09070602,ព្រែកស្វាយ,Preaek Svay,DPHI (GPS),HP,Health Post,ប៉ុស្តិ៍សុខភាព,,យ៉ា ភីនុត,855 968181627,NA,11.524915681317,103.069329271612,NA,,Operational,unparseable
954428,090209,HP ពន្ធធនាគារ,HP Poan Theaneakea,09,កោះកុង,Koh Kong,0907,ថ្មបាំង,Thma Bang,0901,ស្មាច់មានជ័យ,Smach Mean Chey,090706,ថ្មដូនពៅ,Thma Doun Pov,09070602,ព្រែកស្វាយ,Preaek Svay,DPHI (GPS),HP,Health Post,ប៉ុស្តិ៍សុខភាព,,អ៊ុច សុផានី,855 77295563,NA,11.5774118107247,103.020427970506,NA,,Operational,unparseable
303405,090210,HP ថ្មដូនពៅ,HP Thmar Doun Pov,09,កោះកុង,Koh Kong,0907,ថ្មបាំង,Thma Bang,0901,ស្មាច់មានជ័យ,Smach Mean Chey,090706,ថ្មដូនពៅ,Thma Doun Pov,09070602,ព្រែកស្វាយ,Preaek Svay,DPHI (GPS),HP,Health Post,ប៉ុស្តិ៍សុខភាព,,ព្រុំ ចិត្រា,855 883612347,NA,11.6275022974108,103.528319009095,NA,,Operational,unparseable
267831,090211,HP ជំនាប់,HP Chumneap,09,កោះកុង,Koh Kong,0907,ថ្មបាំង,Thma Bang,0901,ស្មាច់មានជ័យ,Smach Mean Chey,090703,ជំនាប់,Chumnoab,09070301,ជំនាប់,Chumnoab,DPHI (GPS),HP,Health Post,ប៉ុស្តិ៍សុខភាព,,មាន សារិទ្ធ,855 883112526,NA,11.6387268770738,103.534619377352,NA,,Operational,unparseable
134750,090212,HP ប្រឡាយ,HP Bralay,09,កោះកុង,Koh Kong,0907,ថ្មបាំង,Thma Bang,0901,ស្មាច់មានជ័យ,Smach Mean Chey,090702,ប្រឡាយ,Pralay,09070202,ប្រឡាយ,Pralay,DPHI (GPS),HP,Health Post,ប៉ុស្តិ៍សុខភាព,,កាន់ បញ្ញាវុទ្ធ,855 975714169,NA,11.7187028260392,103.611073364242,NA,,Operational,unparseable
975736,090213,HP ជ្រោយប្រស់,HP Chroy Pros,09,កោះកុង,Koh Kong,0903,កោះកុង,Kaoh Kong,0901,ស្មាច់មានជ័យ,Smach Mean Chey,090301,ជ្រោយប្រស់,Chrouy Pras,09030101,ជ្រោយប្រស់,Chrouy Pras,DPHI (GPS),HP,Health Post,ប៉ុស្តិ៍សុខភាព,,ជាប សុថារិន,855 16309176,NA,11.3514990513068,103.096688922033,NA,,Operational,unparseable
766697,090107,HP កូនកុក,HP Kaun Kok,09,កោះកុង,Koh Kong,0902,គិរីសាគរ,Kiri Sakor,0901,ស្មាច់មានជ័យ,Smach Mean Chey,090201,កោះស្ដេច,Kaoh Sdach,09020101,កោះស្ដេច,Kaoh Sdach,DPHI (GPS),HC,Health Post,ប៉ុស្តិ៍សុខភាព,,នួន ណារ៉េត,855 976447582,NA,11.4566143761617,103.013692889893,NA,,Operational,unparseable
577854,090216,HP ភ្ញីមាស,HP Phni Meas,09,កោះកុង,Koh Kong,0902,គិរីសាគរ,Kiri Sakor,0901,ស្មាច់មានជ័យ,Smach Mean Chey,090202,ភ្ញីមាស,Phnhi Meas,09020201,ភ្ញីមាស,Phnhi Meas,DPHI (GPS),HP,Health Post,ប៉ុស្តិ៍សុខភាព,,អ៊ុយ ពីន,855 887444449,NA,10.98892,103.224602,NA,,Operational,unparseable
410105,090217,HP កណ្ដោល,HP Kandal,09,កោះកុង,Koh Kong,0902,គិរីសាគរ,Kiri Sakor,0901,ស្រែអំបិល,Srae Ambel,090202,ភ្ញីមាស,Phnhi Meas,09020201,ភ្ញីមាស,Phnhi Meas,DPHI (GPS),HP,Health Post,ប៉ុស្តិ៍សុខភាព,,យិន សំណាង,855 2859996,NA,11.1991487855878,103.538231049688,NA,,Operational,unparseable
525493,090218,HP ពោធិ៍បឹង,HP Pou Beong,09,កោះកុង,Koh Kong,0902,គិរីសាគរ,Kiri Sakor,0901,ស្រែអំបិល,Srae Ambel,090202,ភ្ញីមាស,Phnhi Meas,09020201,ភ្ញីមាស,Phnhi Meas,DPHI (GPS),HP,Health Post,ប៉ុស្តិ៍សុខភាព,,ពុំ ប៊ុនថេង,855 15931220,NA,11.4682346789345,103.721877981749,NA,,Operational,unparseable
129336,090219,HP ជីខក្រោម,HP Chi Kha Kroam,09,កោះកុង,Koh Kong,0902,គិរីសាគរ,Kiri Sakor,0901,ស្រែអំបិល,Srae Ambel,090202,ភ្ញីមាស,Phnhi Meas,09020201,ភ្ញីមាស,Phnhi Meas,DPHI (GPS),HP,Health Post,ប៉ុស្តិ៍សុខភាព,,ឈូ ម៉េង,855 15821642,NA,11.127219,103.586383,NA,,Operational,unparseable
893950,090220,HC យន្តមីន ជ្រោយស្វាយ,HC Yun Min Chroy Svay,09,កោះកុង,Koh Kong,0902,គិរីសាគរ,Kiri Sakor,0901,ស្មាច់មានជ័យ,Smach Mean Chey,090202,ភ្ញីមាស,Phnhi Meas,09020201,ភ្ញីមាស,Phnhi Meas,DPHI (GPS),HC,Health Center,មណ្ឌលសុខភាព,,លី បូរ៉ា,855 97739678,NA,11.0497400587852,103.694685404434,NA,,Operational,unparseable
