HF_ID,HF_CODE,NAME_KH,NAME_EN,PRO_CODE,PRO_NAME_KH,PRO_NAME_EN,DIS_CODE,DIS_NAME_KH,DIS_NAME_EN,OD_CODE,OD_NAME_KH,OD_NAME_EN,COM_CODE,COM_NAME_KH,COM__NAME_EN,VIL_CODE,VIL_NAME_KH,VIL__NAME_EN,OWNERSHIP,ACRONYM,HF_TYPE_EN,HF_TYPE_KH,HF_LEVEL,HF_HEAD,CONTACT_NO,CONTACT_EMAIL,HF_LAT,HF_LON,START_DATE,GOOGLE_MAP_LINK,STATUS,gps_issue
111802,,HC គិរីចុងកោះ,HC KIRICHONGKOH,21,តាកែវ,Takeo,,គីរីវង់,Kiri Vong,,គិរីវង់,Kirivong,,គិរីចុងកោះ,KIRI CHONG KOH,,ចំបក់ទឹម,Chombak Tem,,HC,Health Center,មណ្ឌលសុខភាព,,,,,,,,,,missing
153555,,HC ត្រឡាច,HC TrorLarch,21,តាកែវ,Takeo,2110,ទ្រាំង,Treang,2106,កោះ​អណ្ដែត,Koh Andeth,,ត្រឡាច,Trolach,,កន្ទួតធំ,,,HC,Health Center,មណ្ឌលសុខភាព,,ម៉ៅ ដាវី,855 972002385,,,,,,,missing
480127,,HP ជ័យជោគ,HP Chey Chok,21,តាកែវ,Takeo,2103,បូរីជលសារ,Borei Cholsar,2106,កោះ​អណ្ដែត,Koh Andeth,,ជ័យជោគ,Chey Chok,,តារាគមន៍,Tarakorm,,HP,Health Post,ប៉ុស្តិ៍សុខភាព,,សន ពេជ្រ,855 979497168,,,,,,,missing
657053,,HP អង្គក្រូច,HP Angkroch,21,តាកែវ,Takeo,2103,បូរីជលសារ,Borei Cholsar,2106,កោះ​អណ្ដែត,Koh Andeth,,បូរីជលសារ,Borei Cholsar,,អង្គក្រូច,AngKroch,,HP,Health Post,ប៉ុស្តិ៍សុខភាព,,ម៉ាង វណ្ណៈ,855 972303853,,,,,,,missing
697584,,HC ក្ដាញ់,HC Kdanh,22,តាកែវ,Takeo,,ព្រៃកប្បាស,Prey Kabbas,2105,ព្រៃកប្បាស,Prey Kabass,,ក្ដាញ់,Kdanh,,ក្ប៉ម,Kporm,DPHI (GPS),HC,Health Center,មណ្ឌលសុខភាព,,,,,,,,,,missing
920680,,HC ព្រៃកផ្ទោល,HC Preakphtol,23,តាកែវ,Takeo,,ព្រៃកប្បាស,Prey Kabass,2105,ព្រៃកប្បាស,Prey Kabass,,ព្រែកផ្ទោល,Preak Ptorl,,ភ្នុំបូរី,Phnom Borey,DPHI (GPS),HC,Health Center,មណ្ឌលសុខភាព,,,,,,,,,,missing
665172,040122,HP ពន្ធនាគារខេត្ត,HP Pontheakea,04,កំពង់ឆ្នាំង,Kampong Chhnang,0406,រលាប្អៀរ,Rolea B'ier,0401,កំពង់ឆ្នាំង,Kampong Chhnang,040609,ព្រៃមូល,Prey Mul,04060904,ត្រពាំងក្រវ៉ាន់,,DPHI (GPS),HP,Health Post,ប៉ុស្តិ៍សុខភាព,,ហាស ប៊ុនហាន,855 12654212/855 16405022,None,,,,,Operational,missing
804713,040124,HC គោកបន្ទាយ,HC Kouk Banteay,04,កំពង់ឆ្នាំង,Kampong Chhnang,0406,រលាប្អៀរ,Rolea B'ier,0401,កំពង់ឆ្នាំង,Kampong Chhnang,040605,គោកបន្ទាយ,Kouk Banteay,04060503,មានជ័យ,Mean Chey,DPHI (GPS),HC,Health Center,មណ្ឌលសុខភាព,,យ៉ែម ផល្លា,855 77939380,None,,,,,Operational,missing
059241,040213,HP សុខសែនជ័យ,HP,04,កំពង់ឆ្នាំង,Kampong Chhnang,0407,សាមគ្គីមានជ័យ,Sameakki Mean Chey,0402,កំពង់ត្រឡាច,Kampong Tralach,040704,ពាម,Peam,04070413,សុខសែនជ័យ,,,HP,Health Post,ប៉ុស្តិ៍សុខភាព,,អ៊ុន គឹមលាង,855 316111777/855 12825773,None,,,,,,missing
965628,040213,HP គីរីអភិវឌ្ឍន៍,HP,04,កំពង់ឆ្នាំង,Kampong Chhnang,0407,សាមគ្គីមានជ័យ,Sameakki Mean Chey,0402,កំពង់ត្រឡាច,Kampong Tralach,040701,ឈានឡើង,Chhean Laeung,04070109,គីរីអភិវឌ្ឍន៍,,,HP,Health Post,ប៉ុស្តិ៍សុខភាព,,អ៊ុន គឹមលាង,855 316111777/855 12825773,None,,,,,,missing
906513,040217,HC ខ្នារឆ្មារ,HC  Khnar Chhmar,04,កំពង់ឆ្នាំង,Kampong Chhnang,0407,សាមគ្គីមានជ័យ,Sameakki Mean Chey,0402,កំពង់ត្រឡាច,Kampong Tralach,040702,ខ្នារឆ្មារ,Khnar Chhmar,04070201,វត្ត,,DPHI (GPS),HC,Health Center,មណ្ឌលសុខភាព,,ខែក ឡូ,855 95669768,None,,,,,Operational,missing
360843,,,,,កំពង់ស្ពឺ,Kampong Speu,,,,,,,,,,,,,,,,,,,,,,,,,,missing
